"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "HTML", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\second_container.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\security_row.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\theme_row.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 3, 3, 59
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\toggle.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets\upper_section.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 3, 43
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Item_widget.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 3, 49
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Profile_contact_body.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 3, 52
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\Search_users.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 2, 44
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\User_Contact_body.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 2, 22
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\add_user_contacts.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 2, 37
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\contact_profile_info.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 4, 67
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\contact_profile_photo.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\floating_botton.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\search_dialog.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\search_field.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_Contacts\search_model.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 3, 52
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\ChronicDiseases_update_button.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 6, 40
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\Chronic_Diseases_field.dart", "Dart", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 2, 9, 118
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\EmailText.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\FactoryNumber_field.dart", "Dart", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 10, 116
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\FactoryNumber_update_botton.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 6, 39
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\NationalId_field.dart", "Dart", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 10, 116
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\NationalId_update_botton.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 6, 39
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\address_field.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 2, 10, 112
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\address_update_botton.dart", "Dart", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 6, 39
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\blood_type.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 2, 3, 69
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\first_container_info.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 2, 46
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\nick_name_field.dart", "Dart", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 2, 9, 113
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\nickname_update_botton.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 6, 38
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\profile_info_body.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\second_container_info.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 3, 45
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\title_first_contain_info copy.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 2, 22
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\username_field.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 2, 10, 112
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\Presentation\widgets_information\username_update_button.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 6, 51
"d:\For Studing\Flutter\helping_hands\lib\Features\Profile\data\profileImpl.dart", "Dart", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 44, 44, 288
"d:\For Studing\Flutter\helping_hands\lib\Features\Splash\SplashView.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\For Studing\Flutter\helping_hands\lib\Features\Splash\widgets\animatingButton.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 4, 80
"d:\For Studing\Flutter\helping_hands\lib\Features\Splash\widgets\animatingLogo.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\For Studing\Flutter\helping_hands\lib\Features\Splash\widgets\animatingText.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\For Studing\Flutter\helping_hands\lib\Features\Splash\widgets\splashViewBody.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 6, 9, 96
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\LoginScreen.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 2, 8, 71
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\RegisterScreen.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 3, 45
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\forget_password.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\manager\authCubit.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 6, 14, 96
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\manager\authStates.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 10, 28
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\manager\forget_password\forget_passowrd_cubit.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 6, 32
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\manager\forget_password\forget_passowrd_state.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\ChatBubbleSend.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 1, 4, 66
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Divider_text.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Forget_password_button.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\GoogleButton.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 3, 33
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Login_column.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 3, 50
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Logo.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Password_field1_register.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 2, 14, 81
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Password_field2_register.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 2, 14, 81
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Password_field_login.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 9, 58
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\RegisterBody.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Register_form.dart", "Dart", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 6, 84
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Sign_in_form.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 2, 7, 73
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\Social_Auth.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\animated_button.dart", "Dart", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 3, 5, 67
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\appName.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\black_logo.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 1, 4, 56
"d:\For Studing\Flutter\helping_hands\lib\Features\auth\presentation\widgets\draggableWidget.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 7, 44
